doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
0,2,우리사주,0.8213,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",개정 편의성 상품 정보 주사 메뉴 노출 쓰기
1,2,우리사주,0.4971,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",원활 비대면 가입 감사
2,1,인증,0.839,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",별점 신분증 인증 인증 성공 이동 로그인 필수 계좌인증 계좌 인증 번호 증권사 무한 버퍼링 종료 버퍼링 내용 개선
3,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",무결성 검증 실패
4,2,우리사주,0.7757,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",과거 시중 금융 비교 부분 디자인 기능 수고
5,0,로그인,0.4566,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",신분증 등록 인증 이안
6,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",파킹통장 금리
7,1,인증,0.6662,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",생각
8,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",리뉴얼
9,1,인증,0.6663,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최고
10,1,인증,0.666,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",대출 신상품
11,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",시스템 개편 서비스
12,2,우리사주,0.7705,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",개편 사용자 편의성
13,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",만족
14,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",한국증권금융앱 직관
15,2,우리사주,0.6542,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",비밀번호 임시 비밀번호 로그인 이전 비밀번호
16,0,로그인,0.4422,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",짜증 필요
17,2,우리사주,0.6396,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",메뉴 정리
18,1,인증,0.8253,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",금리 좋아서 최근 편의성 개선
19,0,로그인,0.6289,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",UI 도움
20,2,우리사주,0.6659,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",관리
21,2,우리사주,0.6662,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",디자인
22,1,인증,0.6622,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",안정 개선 전반 인터페이스 직관 앞으로 예정
23,1,인증,0.7603,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",평상시 편의성 인터페이스 은행앱 비교 손색 금리 예정
24,2,우리사주,0.6362,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",리뉴얼 편의성
25,2,우리사주,0.4549,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",모바일뱅킹 최근 이전 현상 디자인 불편 이제 문제 해결 이미지 전반 현대 느낌 이전 인증 등록 오류 발생 스트레스 지금
26,1,인증,0.7629,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",UI 직관 대출 상품
27,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",리뉴얼 사용성
28,1,인증,0.5749,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",안정 공공기관 디자인 개선 와이드 예수금 금리 전체 만족도
29,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",해진 거래
30,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",원격조정앱 감지 앱인지 처리
31,2,우리사주,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기
32,2,우리사주,0.4619,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",경험 관리 무한 로그인 환장
33,2,우리사주,0.7629,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",개설 신분증 신청 본인인증 무한 반복 기본 해결 정상
34,0,로그인,0.6402,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",최악 로그인 인증서 등록 대머리
35,0,로그인,0.4954,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",거지 인증 리뷰 처음
36,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",이거 이전
37,2,우리사주,0.8666,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",가입 페이지 가입 버튼 조작 앱중 가입 처음
38,2,우리사주,0.6665,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",가입 동의 동의
39,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악
40,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공무원 구지
41,1,인증,0.7744,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",그놈 인증 인증 별점
42,0,로그인,0.8682,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",지문 등록 방법 로그인 등록 오류 이상 시도 재설치
43,0,로그인,0.7775,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",금융인증서 등록 로딩
44,2,우리사주,0.7765,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",사용자 입장 불편
45,0,로그인,0.6308,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 타기관 공유 불편 사이트 자체
46,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",매매 매도 증상 복구 손해 보기 거래 주식 매도 대상 주식 선택 이틀
