doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
3,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",무결성 검증 실패
5,0,로그인,0.4566,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",신분증 등록 인증 이안
8,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",리뉴얼
11,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",시스템 개편 서비스
13,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",만족
14,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",한국증권금융앱 직관
16,0,로그인,0.4422,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",짜증 필요
19,0,로그인,0.6289,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",UI 도움
27,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",리뉴얼 사용성
29,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",해진 거래
30,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",원격조정앱 감지 앱인지 처리
34,0,로그인,0.6402,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",최악 로그인 인증서 등록 대머리
35,0,로그인,0.4954,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",거지 인증 리뷰 처음
36,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",이거 이전
40,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공무원 구지
42,0,로그인,0.8682,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",지문 등록 방법 로그인 등록 오류 이상 시도 재설치
43,0,로그인,0.7775,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",금융인증서 등록 로딩
45,0,로그인,0.6308,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 타기관 공유 불편 사이트 자체
46,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",매매 매도 증상 복구 손해 보기 거래 주식 매도 대상 주식 선택 이틀
48,0,로그인,0.8818,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",이상 개발자 당사자 메뉴 선택 로그인 로그인
50,0,로그인,0.8629,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",돌이 로그인 거래 조회 인정 필요 마지막 원위치 뺑뺑이 인내력 시험 평가 성질 휴대폰 수도
51,0,로그인,0.8274,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로그인 이동 로그인 접근 조치
53,0,로그인,0.6489,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",자동 로그 아웃 공동인증서 보내기 앱에서 로그인 오류
54,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",EH
