doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
2,1,인증,0.839,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",별점 신분증 인증 인증 성공 이동 로그인 필수 계좌인증 계좌 인증 번호 증권사 무한 버퍼링 종료 버퍼링 내용 개선
6,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",파킹통장 금리
7,1,인증,0.6662,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",생각
9,1,인증,0.6663,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최고
10,1,인증,0.666,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",대출 신상품
18,1,인증,0.8253,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",금리 좋아서 최근 편의성 개선
22,1,인증,0.6622,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",안정 개선 전반 인터페이스 직관 앞으로 예정
23,1,인증,0.7603,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",평상시 편의성 인터페이스 은행앱 비교 손색 금리 예정
26,1,인증,0.7629,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",UI 직관 대출 상품
28,1,인증,0.5749,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",안정 공공기관 디자인 개선 와이드 예수금 금리 전체 만족도
39,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악
41,1,인증,0.7744,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",그놈 인증 인증 별점
52,1,인증,0.6585,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",회사 스팸앱 성의
56,1,인증,0.5866,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악 쓰레기 페이지 수준
58,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악
65,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악
68,1,인증,0.896,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",한국증권금융 홈페이지 수준 서버 문제 메뉴 클릭 다음 이동 수분
74,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",이런앱 앞으로 최악
75,1,인증,0.5885,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",로그인 인증 무한 반복 짜증 지대
80,1,인증,0.8332,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악 세계 최악 순위 등극 수준 부끄러움
84,1,인증,0.5005,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",개막장앱 처음 해외 대출 연장 사투 초딩 개발자 오류 인증서 다운 비밀번호 관리 퇴사 아무도 신경 이유 고객 악플에 관리자
85,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악
93,1,인증,0.666,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",해외 몇번을 온라인 주소 해외여행 기간 대출 기한
96,1,인증,0.8824,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증 절차 오류 인증 계좌인증 오류로 다음 단계 불가 UI 구려 예전
127,1,인증,0.5141,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악 UI 고객 생각 결여 편의성 인증서 갱신 휴대폰 인증서 타기관 인증서 발행 이상 취급 오류 최악
132,1,인증,0.4459,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악 설치
160,1,인증,0.8306,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",한국 금융기관 사용성 최악 시대 흐름 고객 편의 생각
161,1,인증,0.666,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",예전 쓰기 대출 관련 신규 내용
165,1,인증,0.4481,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",역대 최악 필요
172,1,인증,0.9195,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",금리 주식 담보 대출 우리사주 담보 대출 모바일 할인 마이너스 금리
177,1,인증,0.6663,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최고
179,1,인증,0.7493,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",대출 조회 관리자 방치 데이터 소비 회사 서무
182,1,인증,0.9067,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",한국증권금융 모바일 도입 우리사주 담보 대출 반대 대출 금리 이벤트 사용법
183,1,인증,0.6665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악
184,1,인증,0.666,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",대출 아무것
185,1,인증,0.6311,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",모바일
186,1,인증,0.8665,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",금리 증권 담보 대출 금리 완전 수시 예금 조건 국내 금융기관 제일 조건
189,1,인증,0.776,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",창구 계좌 인증
196,1,인증,0.7636,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",한국증권금융 모바일
199,1,인증,0.6663,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최고
200,1,인증,0.6663,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최고
204,1,인증,0.5147,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",우리사주 전담 기관 사주 현황 대출 만족
209,1,인증,0.9028,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",모바일 담보 대출 상품 고객 맞춤 생각 앞으로 개선
211,1,인증,0.6622,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",개선 부탁
218,1,인증,0.6663,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",말이 최적화 수준
223,1,인증,0.6465,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",강제 종료
230,1,인증,0.4893,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",리뷰 반성 인증 성질 사용자 입장 생각
234,1,인증,0.8534,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",최악 인증 마지막 오류 기화 오류
237,1,인증,0.7743,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증 초기 짜증
238,1,인증,0.5056,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증서 하루 인증 주민 번호 입력
247,1,인증,0.6263,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증서 등록 시도 지금 계좌 본인인증 다음 단계 인내심 시험
251,1,인증,0.6613,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증
253,1,인증,0.5978,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",테스트 안해 보나 개발비 문제 감독 수하 최악
