doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
0,2,가입,0.8213,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",개정 편의성 상품 정보 주사 메뉴 노출 쓰기
1,2,가입,0.4971,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",원활 비대면 가입 감사
4,2,가입,0.7757,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",과거 시중 금융 비교 부분 디자인 기능 수고
12,2,가입,0.7705,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",개편 사용자 편의성
15,2,가입,0.6542,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",비밀번호 임시 비밀번호 로그인 이전 비밀번호
17,2,가입,0.6396,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",메뉴 정리
20,2,가입,0.6659,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",관리
21,2,가입,0.6662,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",디자인
24,2,가입,0.6362,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",리뉴얼 편의성
25,2,가입,0.4549,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",모바일뱅킹 최근 이전 현상 디자인 불편 이제 문제 해결 이미지 전반 현대 느낌 이전 인증 등록 오류 발생 스트레스 지금
31,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기
32,2,가입,0.4619,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",경험 관리 무한 로그인 환장
33,2,가입,0.7629,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",개설 신분증 신청 본인인증 무한 반복 기본 해결 정상
37,2,가입,0.8666,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",가입 페이지 가입 버튼 조작 앱중 가입 처음
38,2,가입,0.6665,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",가입 동의 동의
44,2,가입,0.7765,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",사용자 입장 불편
47,2,가입,0.7652,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",인터넷뱅킹 금융 정보
49,2,가입,0.6035,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",로그인 지옥 경험 쓰레기 구로 관리
55,2,가입,0.6384,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",바이오인증 오류 환장
59,2,가입,0.7705,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",피드백 관리도 사용자 편의성 보장
60,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기
67,2,가입,0.6663,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",처음
70,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",불편
71,2,가입,0.6635,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",인간 하네 담당자 담당자 개발 테스트 안함 반복
72,2,가입,0.8269,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",회원 가입 ID 로그인 인증센터 간편인증 비밀번호 설정 신분증 촬영 다음 다운 테스트 짜증
73,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기 접합 니다 투자
78,2,가입,0.7201,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",로그인 조회 회원 가입 이랑 본인인증 시키
79,2,가입,0.407,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",인간 불편 터치 횟수 로딩 최소한 금융 비교 개선 중복 프로세스 인증서 발급 입력 버튼 약관 환장
88,2,가입,0.6664,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",대기 설치
92,2,가입,0.5842,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",계좌 개설 관리 선택 전화 설치 별짓
97,2,가입,0.6616,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",우리사주
98,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기
101,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기
